,rating,likes,genre,top cast,language,director
Flame & Citron,3.56,1408,"['Drama', 'History', 'War']","['Thure Lindhardt', 'Mads Mikkelsen', 'Stine Stengade']",Danish,Ole Christian Madsen
Kikujiro,3.98,9328,"['Comedy', 'Drama', 'Family']","['Takeshi Kitano', 'Yusuke Sekiguchi', 'Kayoko Kishimoto']",Japanese,Takeshi Kitano
The Revenant,3.87,332495,"['Western', 'Adventure', 'Drama']","['Leonardo DiCaprio', 'Tom Hardy', 'Domhnall Gleeson']",English,Alejandro González Iñárritu
My Life as a Dog,3.86,4219,"['Drama', 'Comedy']","['Anton Glanzelius', 'Tomas von Brömssen', 'Anki Lidén']",Swedish,Lasse Hallström
Pierrot le Fou,4.04,44246,"['Romance', 'Crime', 'Drama']","['Jean-Paul Belmondo', 'Anna Karina', 'Graziella Galvani']",French,Jean-Luc Godard
Sound of Metal,4.19,251440,"['Music', 'Drama']","['Riz Ahmed', 'Olivia Cooke', 'Paul Raci']",English,Darius Marder
A Star Is Born,3.61,255944,"['Music', 'Romance', 'Drama']","['Lady Gaga', 'Bradley Cooper', 'Sam Elliott']",English,Bradley Cooper
In Bruges,4.11,179685,"['Drama', 'Comedy', 'Crime']","['Colin Farrell', 'Brendan Gleeson', 'Ralph Fiennes']",English,Martin McDonagh
Get Out,4.16,1382058,"['Horror', 'Mystery', 'Thriller']","['Daniel Kaluuya', 'Allison Williams', 'Bradley Whitford']",English,Jordan Peele
The Secret in Their Eyes,4.18,40285,"['Thriller', 'Drama', 'Mystery']","['Ricardo Darín', 'Soledad Villamil', 'Pablo Rago']",Spanish,Juan José Campanella
Boyhood,3.82,176027,['Drama'],"['Ellar Coltrane', 'Patricia Arquette', 'Ethan Hawke']",English,Richard Linklater
Bicycle Thieves,4.31,79886,['Drama'],"['Lamberto Maggiorani', 'Enzo Staiola', 'Lianella Carell']",Italian,Vittorio De Sica
Beauty and the Beast,3.88,202338,"['Romance', 'Fantasy', 'Family', 'Animation']","[""Paige O'Hara"", 'Robby Benson', 'Richard White']",English,Gary Trousdale
Once Upon a Time in America,4.21,76740,"['Crime', 'Drama']","['Robert De Niro', 'James Woods', 'Elizabeth McGovern']",English,Sergio Leone
The Naked Gun: From the Files of Police Squad!,3.76,62506,"['Crime', 'Comedy']","['Leslie Nielsen', 'Priscilla Presley', 'Ricardo Montalban']",English,David Zucker
Hereditary,3.97,724574,"['Thriller', 'Horror', 'Mystery']","['Toni Collette', 'Alex Wolff', 'Gabriel Byrne']",English,Ari Aster
Snow White and the Seven Dwarfs,3.43,90455,"['Animation', 'Family', 'Fantasy']","['Adriana Caselotti', 'Lucille La Verne', 'Harry Stockwell']",English,David Hand
Your Name.,4.21,387201,"['Romance', 'Animation', 'Drama']","['Ryunosuke Kamiki', 'Mone Kamishiraishi', 'Ryo Narita']",Japanese,Makoto Shinkai
Rear Window,4.38,249298,"['Mystery', 'Thriller']","['James Stewart', 'Grace Kelly', 'Wendell Corey']",English,Alfred Hitchcock
"Crouching Tiger, Hidden Dragon",4.04,77631,"['Drama', 'Romance', 'Action', 'Adventure']","['Chow Yun-fat', 'Michelle Yeoh', 'Zhang Ziyi']",Chinese,Ang Lee
Ghost in the Shell,4.08,115733,"['Animation', 'Science Fiction', 'Action']","['Atsuko Tanaka', 'Akio Otsuka', 'Iemasa Kayumi']",Japanese,Mamoru Oshii
Cléo from 5 to 7,4.2,72127,['Drama'],"['Corinne Marchand', 'Dominique Davray', 'Antoine Bourseiller']",French,Agnès Varda
Clerks,3.81,68400,['Comedy'],"[""Brian O'Halloran"", 'Jeff Anderson', 'Marilyn Ghigliotti']",English,Kevin Smith
The Banshees of Inisherin,4.11,365998,"['Comedy', 'Drama']","['Colin Farrell', 'Brendan Gleeson', 'Kerry Condon']",English,Martin McDonagh
8½,4.3,81650,['Drama'],"['Marcello Mastroianni', 'Anouk Aimée', 'Sandra Milo']",Italian,Federico Fellini
The Addams Family,3.68,125902,"['Comedy', 'Fantasy']","['Raúl Juliá', 'Anjelica Huston', 'Christopher Lloyd']",English,Barry Sonnenfeld
Chinatown,4.29,133988,"['Thriller', 'Mystery', 'Crime', 'Drama']","['Jack Nicholson', 'Faye Dunaway', 'John Huston']",English,Roman Polanski
No Country for Old Men,4.33,546002,"['Crime', 'Thriller', 'Drama']","['Josh Brolin', 'Javier Bardem', 'Tommy Lee Jones']",English,Joel Coen
Gone Girl,4.07,930156,"['Drama', 'Thriller', 'Mystery']","['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris']",English,David Fincher
Donnie Darko,3.97,577221,"['Fantasy', 'Mystery', 'Drama']","['Jake Gyllenhaal', 'Jena Malone', 'James Duval']",English,Richard Kelly
The Parent Trap,3.66,211161,"['Family', 'Romance', 'Comedy']","['Lindsay Lohan', 'Dennis Quaid', 'Natasha Richardson']",English,Nancy Meyers
Tampopo,4.3,46961,['Comedy'],"['Tsutomu Yamazaki', 'Nobuko Miyamoto', 'Ken Watanabe']",Japanese,Jūzō Itami
Inglourious Basterds,4.34,1049357,"['Drama', 'Thriller', 'War']","['Brad Pitt', 'Mélanie Laurent', 'Christoph Waltz']",English,Quentin Tarantino
The Blues Brothers,3.97,82107,"['Comedy', 'Action', 'Crime', 'Music']","['Dan Aykroyd', 'John Belushi', 'James Brown']",English,John Landis
The Father,4.29,121097,['Drama'],"['Anthony Hopkins', 'Olivia Colman', 'Mark Gatiss']",English,Florian Zeller
Persona,4.41,133898,['Drama'],"['Bibi Andersson', 'Liv Ullmann', 'Margaretha Krook']",Swedish,Ingmar Bergman
Wait Until Dark,3.89,11405,['Thriller'],"['Audrey Hepburn', 'Alan Arkin', 'Richard Crenna']",English,Terence Young
The Green Mile,4.21,258252,"['Drama', 'Crime', 'Fantasy']","['Tom Hanks', 'Michael Clarke Duncan', 'David Morse']",English,Frank Darabont
Fury,3.7,125872,"['War', 'Drama', 'Action']","['Brad Pitt', 'Shia LaBeouf', 'Logan Lerman']",English,David Ayer
Raising Arizona,3.86,87732,"['Crime', 'Comedy']","['Nicolas Cage', 'Holly Hunter', 'Trey Wilson']",English,Joel Coen
Snatch,4.01,176253,"['Comedy', 'Crime']","['Brad Pitt', 'Jason Statham', 'Alan Ford']",English,Guy Ritchie
Ex Machina,3.99,403702,"['Science Fiction', 'Drama']","['Domhnall Gleeson', 'Alicia Vikander', 'Oscar Isaac']",English,Alex Garland
