,rating,likes,genre,top cast,language,director
Psycho,4.32,403790,"['Mystery', 'Thriller', 'Horror']","['Anthony Perkins', 'Janet Leigh', 'Vera Miles']",English,Alfred Hitchcock
2001: A Space Odyssey,4.3,447180,"['Adventure', 'Mystery', 'Science Fiction']","['Keir Dullea', 'Gary Lockwood', 'William Sylvester']",English,Stanley Kubrick
Schindler's List,4.52,356548,"['History', 'Drama', 'War']","['Liam Neeson', 'Ben Kingsley', 'Ralph Fiennes']",English,Steven Spielberg
GoodFellas,4.48,596488,"['Drama', 'Crime']","['Ray Liotta', 'Robert De Niro', 'Joe Pesci']",English,Martin Scorsese
Back to the Future,4.2,777751,"['Comedy', 'Science Fiction', 'Adventure']","['Michael J. Fox', 'Christopher Lloyd', 'Crispin Glover']",English,Robert Zemeckis
Lawrence of Arabia,4.35,79471,"['Adventure', 'War', 'History']","[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn']",English,David Lean
The Virgin Suicides,3.82,244142,"['Romance', 'Drama']","['James Woods', 'Kathleen Turner', 'Kirsten Dunst']",English,Sofia Coppola
Come and See,4.64,122563,"['War', 'Drama']","['Aleksei Kravchenko', 'Olga Mironova', 'Liubomiras Laucevicius']",Russian,Elem Klimov
The Prince of Egypt,3.99,110193,"['Adventure', 'Animation', 'Family', 'Drama']","['Val Kilmer', 'Ralph Fiennes', 'Michelle Pfeiffer']",English,Simon Wells
The Princess Bride,4.04,303186,"['Adventure', 'Romance', 'Fantasy', 'Family', 'Comedy']","['Cary Elwes', 'Robin Wright', 'Mandy Patinkin']",English,Rob Reiner
Spirited Away,4.46,1204588,"['Family', 'Fantasy', 'Animation']","['Rumi Hiiragi', 'Miyu Irino', 'Mari Natsuki']",Japanese,Hayao Miyazaki
The Shawshank Redemption,4.55,751726,"['Crime', 'Drama']","['Tim Robbins', 'Morgan Freeman', 'Bob Gunton']",English,Frank Darabont
Mad Max: Fury Road,4.17,685323,"['Adventure', 'Science Fiction', 'Action']","['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult']",English,George Miller
12 Angry Men,4.62,344594,['Drama'],"['Martin Balsam', 'John Fiedler', 'Lee J. Cobb']",English,Sidney Lumet
High and Low,4.58,47576,"['Crime', 'Drama', 'Thriller']","['Toshirō Mifune', 'Tatsuya Nakadai', 'Kyōko Kagawa']",Japanese,Akira Kurosawa
Spider-Man: Into the Spider-Verse,4.43,1654380,"['Adventure', 'Animation', 'Science Fiction', 'Action']","['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld']",English,Rodney Rothman
Ikiru,4.51,55095,['Drama'],"['Takashi Shimura', 'Haruo Tanaka', 'Nobuo Kaneko']",Japanese,Akira Kurosawa
The Apartment,4.43,96945,"['Drama', 'Romance', 'Comedy']","['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray']",English,Billy Wilder
Fight Club,4.27,1592688,['Drama'],"['Edward Norton', 'Brad Pitt', 'Helena Bonham Carter']",English,David Fincher
Do the Right Thing,4.4,157061,['Drama'],"['Danny Aiello', 'Spike Lee', 'Ossie Davis']",English,Spike Lee
Jojo Rabbit,4.03,742020,"['War', 'Drama', 'Comedy']","['Roman Griffin Davis', 'Thomasin McKenzie', 'Scarlett Johansson']",English,Taika Waititi
Heat,4.27,241782,"['Crime', 'Action', 'Drama']","['Robert De Niro', 'Al Pacino', 'Val Kilmer']",English,Michael Mann
Children of Men,4.3,230732,"['Action', 'Drama', 'Science Fiction', 'Thriller']","['Clive Owen', 'Julianne Moore', 'Clare-Hope Ashitey']",English,Alfonso Cuarón
Citizen Kane,4.21,178874,"['Drama', 'Mystery']","['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore']",English,Orson Welles
Harakiri,4.69,59047,"['History', 'Drama', 'Action']","['Tatsuya Nakadai', 'Akira Ishihama', 'Shima Iwashita']",Japanese,Masaki Kobayashi
The Wizard of Oz,3.96,176570,"['Adventure', 'Family', 'Fantasy']","['Judy Garland', 'Ray Bolger', 'Jack Haley']",English,Victor Fleming
Titanic,3.8,619466,"['Drama', 'Romance']","['Leonardo DiCaprio', 'Kate Winslet', 'Billy Zane']",English,James Cameron
A Silent Voice,4.15,161321,"['Drama', 'Animation']","['Miyu Irino', 'Saori Hayami', 'Aoi Yuki']",Japanese,Naoko Yamada
Eternal Sunshine of the Spotless Mind,4.24,944141,"['Science Fiction', 'Romance', 'Drama']","['Jim Carrey', 'Kate Winslet', 'Kirsten Dunst']",English,Michel Gondry
Good Will Hunting,4.29,621050,['Drama'],"['Matt Damon', 'Robin Williams', 'Ben Affleck']",English,Gus Van Sant
City of God,4.52,274868,"['Drama', 'Crime']","['Alexandre Rodrigues', 'Leandro Firmino', 'Phellipe Haagensen']",Portuguese,Fernando Meirelles
The Elephant Man,4.23,88903,"['History', 'Drama']","['Anthony Hopkins', 'John Hurt', 'Anne Bancroft']",English,David Lynch
Casablanca,4.28,218284,"['Drama', 'Romance']","['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid']",English,Michael Curtiz
Requiem for a Dream,4.1,358258,"['Drama', 'Crime']","['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly']",English,Darren Aronofsky
Finding Nemo,4.04,596281,"['Animation', 'Family']","['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould']",English,Andrew Stanton
The Godfather: Part II,4.59,379044,"['Crime', 'Drama']","['Al Pacino', 'Robert Duvall', 'Diane Keaton']",English,Francis Ford Coppola
Pulp Fiction,4.27,1396778,"['Crime', 'Thriller']","['John Travolta', 'Samuel L. Jackson', 'Uma Thurman']",English,Quentin Tarantino
Clue,3.84,125161,"['Mystery', 'Crime', 'Thriller', 'Comedy']","['Tim Curry', 'Eileen Brennan', 'Madeline Kahn']",English,Jonathan Lynn
It's a Wonderful Life,4.39,199354,"['Family', 'Drama', 'Fantasy']","['James Stewart', 'Donna Reed', 'Lionel Barrymore']",English,Frank Capra
Kung Fu Panda,3.83,294240,"['Comedy', 'Action', 'Family', 'Adventure', 'Animation']","['Jack Black', 'Angelina Jolie', 'Dustin Hoffman']",English,Mark Osborne
There Will Be Blood,4.45,360205,['Drama'],"['Daniel Day-Lewis', 'Paul Dano', ""Kevin J. O'Connor""]",English,Paul Thomas Anderson
Memento,4.17,473924,"['Mystery', 'Thriller']","['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano']",English,Christopher Nolan
The Thing,4.35,357871,"['Mystery', 'Science Fiction', 'Horror']","['Kurt Russell', 'Keith David', 'Wilford Brimley']",English,John Carpenter
Amadeus,4.32,136266,"['History', 'Drama', 'Music']","['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge']",English,Miloš Forman
The Truman Show,4.21,1185407,"['Comedy', 'Drama']","['Jim Carrey', 'Laura Linney', 'Noah Emmerich']",English,Peter Weir
American History X,4.12,188433,['Drama'],"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo""]",English,Tony Kaye
Akira,4.27,257590,"['Animation', 'Action', 'Science Fiction']","['Mitsuo Iwata', 'Nozomu Sasaki', 'Mami Koyama']",Japanese,Katsuhiro Otomo
City Lights,4.34,55678,"['Drama', 'Comedy', 'Romance']","['Charlie Chaplin', 'Virginia Cherrill', 'Harry Myers']",English,Charlie Chaplin
The Godfather,4.55,762284,"['Crime', 'Drama']","['Marlon Brando', 'Al Pacino', 'James Caan']",English,Francis Ford Coppola
The Matrix,4.16,824864,"['Science Fiction', 'Action']","['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss']",English,Lilly Wachowski
Before Sunrise,4.33,395224,"['Romance', 'Drama']","['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert']",English,Richard Linklater
Toy Story,4.13,632705,"['Comedy', 'Animation', 'Family', 'Adventure']","['Tom Hanks', 'Tim Allen', 'Don Rickles']",English,John Lasseter
The Lion King,4.21,560975,"['Animation', 'Family', 'Drama']","['Matthew Broderick', 'Moira Kelly', 'Nathan Lane']",English,Roger Allers
When Harry Met Sally...,4.04,252520,"['Drama', 'Romance', 'Comedy']","['Meg Ryan', 'Billy Crystal', 'Bruno Kirby']",English,Rob Reiner
Up,4.09,808338,"['Animation', 'Adventure', 'Family', 'Comedy']","['Ed Asner', 'Christopher Plummer', 'Jordan Nagai']",English,Pete Docter
Stand by Me,4.14,266889,"['Drama', 'Crime']","['Wil Wheaton', 'River Phoenix', ""Jerry O'Connell""]",English,Rob Reiner
The Sandlot,3.71,56023,"['Comedy', 'Family']","['Tom Guiry', 'Mike Vitar', 'Patrick Renna']",English,David Mickey Evans
E.T. the Extra-Terrestrial,3.85,306625,"['Science Fiction', 'Fantasy', 'Adventure', 'Family']","['Henry Thomas', 'Drew Barrymore', 'Robert MacNaughton']",English,Steven Spielberg
Seven Samurai,4.6,136756,"['Drama', 'Action']","['Toshirō Mifune', 'Takashi Shimura', 'Yoshio Inaba']",Japanese,Akira Kurosawa
Grave of the Fireflies,4.45,224790,"['War', 'Drama', 'Animation']","['Tsutomu Tatsumi', 'Ayano Shiraishi', 'Yoshiko Shinohara']",Japanese,Isao Takahata
Millennium Actress,4.22,41565,"['Romance', 'Animation', 'Drama']","['Miyoko Shoji', 'Mami Koyama', 'Fumiko Orikasa']",Japanese,Satoshi Kon
Groundhog Day,3.84,222460,"['Comedy', 'Drama', 'Fantasy', 'Romance']","['Bill Murray', 'Andie MacDowell', 'Chris Elliott']",English,Harold Ramis
Interstellar,4.33,1492038,"['Science Fiction', 'Drama', 'Adventure']","['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain']",English,Christopher Nolan
Charade,3.99,46225,"['Romance', 'Mystery', 'Comedy']","['Cary Grant', 'Audrey Hepburn', 'Walter Matthau']",English,Stanley Donen
La Haine,4.51,234458,['Drama'],"['Vincent Cassel', 'Hubert Koundé', 'Saïd Taghmaoui']",French,Mathieu Kassovitz
Amélie,4.16,402263,"['Romance', 'Comedy']","['Audrey Tautou', 'Mathieu Kassovitz', 'Rufus']",French,Jean-Pierre Jeunet
Life Is Beautiful,4.33,172570,"['Comedy', 'Drama']","['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini']",Italian,Roberto Benigni
In the Mood for Love,4.4,272364,"['Drama', 'Romance']","['Tony Leung Chiu-wai', 'Maggie Cheung', 'Rebecca Pan']",Cantonese,Wong Kar-wai
Alien,4.28,493704,"['Horror', 'Science Fiction']","['Sigourney Weaver', 'Tom Skerritt', 'Ian Holm']",English,Ridley Scott
Star Wars,4.18,805348,"['Adventure', 'Action', 'Science Fiction']","['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",English,George Lucas
Vertigo,4.24,220057,"['Romance', 'Thriller', 'Mystery']","['James Stewart', 'Kim Novak', 'Barbara Bel Geddes']",English,Alfred Hitchcock
The Shining,4.24,991945,"['Horror', 'Thriller']","['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd']",English,Stanley Kubrick
Roman Holiday,4.14,74621,"['Romance', 'Drama', 'Comedy']","['Audrey Hepburn', 'Gregory Peck', 'Eddie Albert']",English,William Wyler
Run Lola Run,3.82,54726,"['Action', 'Thriller', 'Drama']","['Franka Potente', 'Moritz Bleibtreu', 'Herbert Knaup']",German,Tom Tykwer
The Dark Knight,4.46,1475597,"['Action', 'Drama', 'Thriller', 'Crime']","['Christian Bale', 'Heath Ledger', 'Michael Caine']",English,Christopher Nolan
Cast Away,3.86,163426,"['Drama', 'Adventure']","['Tom Hanks', 'Helen Hunt', 'Chris Noth']",English,Robert Zemeckis
The Grand Budapest Hotel,4.25,1057853,"['Drama', 'Comedy']","['Ralph Fiennes', 'F. Murray Abraham', 'Tony Revolori']",English,Wes Anderson
The Graduate,4.12,139372,"['Comedy', 'Drama', 'Romance']","['Anne Bancroft', 'Dustin Hoffman', 'Katharine Ross']",English,Mike Nichols
Midnight in Paris,3.71,215073,"['Comedy', 'Fantasy', 'Romance']","['Owen Wilson', 'Rachel McAdams', 'Kurt Fuller']",English,Woody Allen
The SpongeBob SquarePants Movie,3.85,134888,"['Adventure', 'Comedy', 'Fantasy', 'Family', 'Animation']","['Tom Kenny', 'Clancy Brown', 'Rodger Bumpass']",English,Stephen Hillenburg
Mean Girls,3.83,664080,['Comedy'],"['Lindsay Lohan', 'Rachel McAdams', 'Lizzy Caplan']",English,Mark Waters
Singin' in the Rain,4.32,185416,"['Romance', 'Comedy']","['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds']",English,Stanley Donen
Y Tu Mamá También,4.19,90450,"['Romance', 'Drama']","['Diego Luna', 'Gael García Bernal', 'Maribel Verdú']",Spanish,Alfonso Cuarón
RRR,4.19,113581,"['Action', 'Drama']","['N.T. Rama Rao Jr.', 'Ram Charan', 'Olivia Morris']",Telugu,S. S. Rajamouli
Ratatouille,4.2,993548,"['Animation', 'Family', 'Comedy', 'Fantasy']","['Patton Oswalt', 'Lou Romano', 'Ian Holm']",English,Brad Bird
Se7en,4.32,877439,"['Crime', 'Mystery', 'Thriller']","['Morgan Freeman', 'Brad Pitt', 'Gwyneth Paltrow']",English,David Fincher
Princess Mononoke,4.37,454900,"['Adventure', 'Fantasy', 'Animation']","['Youji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka']",Japanese,Hayao Miyazaki
Scream,4.02,528714,"['Mystery', 'Crime', 'Horror']","['David Arquette', 'Neve Campbell', 'Courteney Cox']",English,Wes Craven
Spider-Man 2,3.88,499802,"['Action', 'Science Fiction', 'Adventure']","['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",English,Sam Raimi
Blade Runner,4.1,458472,"['Thriller', 'Drama', 'Science Fiction']","['Harrison Ford', 'Rutger Hauer', 'Sean Young']",English,Ridley Scott
Eyes Wide Shut,4.0,244545,"['Thriller', 'Drama', 'Mystery']","['Tom Cruise', 'Nicole Kidman', 'Sydney Pollack']",English,Stanley Kubrick
The Notebook,3.65,294182,"['Romance', 'Drama']","['Ryan Gosling', 'Rachel McAdams', 'Gena Rowlands']",English,Nick Cassavetes
La La Land,4.06,1265452,"['Drama', 'Comedy', 'Music', 'Romance']","['Ryan Gosling', 'Emma Stone', 'John Legend']",English,Damien Chazelle
Spotlight,4.08,168013,"['History', 'Drama']","['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams']",English,Tom McCarthy
The Philadelphia Story,3.99,28208,"['Romance', 'Comedy']","['Cary Grant', 'Katharine Hepburn', 'James Stewart']",English,George Cukor
Everything Everywhere All at Once,4.31,1373934,"['Science Fiction', 'Action', 'Adventure']","['Michelle Yeoh', 'Stephanie Hsu', 'Ke Huy Quan']",English,Daniel Scheinert
Scarface,4.11,339017,"['Drama', 'Crime', 'Action']","['Al Pacino', 'Steven Bauer', 'Michelle Pfeiffer']",English,Brian De Palma
The Avengers,3.64,634288,"['Science Fiction', 'Adventure', 'Action']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",English,Joss Whedon
Prisoners,4.28,508456,"['Thriller', 'Crime', 'Drama']","['Hugh Jackman', 'Jake Gyllenhaal', 'Terrence Howard']",English,Denis Villeneuve
The Exorcist,3.99,248945,"['Thriller', 'Drama', 'Horror']","['Jason Miller', 'Ellen Burstyn', 'Linda Blair']",English,William Friedkin
Forrest Gump,4.12,1012006,"['Drama', 'Comedy', 'Romance']","['Tom Hanks', 'Robin Wright', 'Gary Sinise']",English,Robert Zemeckis
The Pursuit of Happyness,3.87,169381,['Drama'],"['Will Smith', 'Jaden Smith', 'Thandiwe Newton']",English,Gabriele Muccino
"Paris, Texas",4.4,158162,['Drama'],"['Harry Dean Stanton', 'Nastassja Kinski', 'Dean Stockwell']",English,Wim Wenders
Terminator 2: Judgment Day,4.28,272845,"['Thriller', 'Action', 'Science Fiction']","['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong']",English,James Cameron
Speed Racer,3.37,55172,"['Adventure', 'Action', 'Family', 'Comedy']","['Emile Hirsch', 'Christina Ricci', 'John Goodman']",English,Lilly Wachowski
Whiplash,4.43,1276294,"['Drama', 'Music']","['Miles Teller', 'J.K. Simmons', 'Paul Reiser']",English,Damien Chazelle
Django Unchained,4.27,946079,"['Drama', 'Western']","['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio']",English,Quentin Tarantino
Taxi Driver,4.17,634826,"['Drama', 'Crime']","['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd']",English,Martin Scorsese
Home Alone,3.79,513781,"['Family', 'Comedy']","['Macaulay Culkin', 'Joe Pesci', 'Daniel Stern']",English,Chris Columbus
Mulholland Drive,4.24,287437,"['Mystery', 'Drama', 'Thriller']","['Naomi Watts', 'Laura Harring', 'Justin Theroux']",English,David Lynch
Aftersun,4.24,378514,['Drama'],"['Paul Mescal', 'Frankie Corio', 'Brooklyn Toulson']",English,Charlotte Wells
Scent of a Woman,3.86,66024,"['Drama', 'Comedy']","[""Chris O'Donnell"", 'Al Pacino', 'James Rebhorn']",English,Martin Brest
Cinema Paradiso,4.44,140022,"['Drama', 'Romance']","['Philippe Noiret', 'Jacques Perrin', 'Marco Leonardi']",Italian,Giuseppe Tornatore
Jurassic Park,4.11,609816,"['Science Fiction', 'Adventure']","['Sam Neill', 'Laura Dern', 'Jeff Goldblum']",English,Steven Spielberg
Shrek,4.06,610075,"['Adventure', 'Fantasy', 'Family', 'Animation', 'Comedy']","['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']",English,Andrew Adamson
Gone with the Wind,3.84,54326,"['Romance', 'Drama', 'War']","['Vivien Leigh', 'Clark Gable', 'Olivia de Havilland']",English,Victor Fleming
Punch-Drunk Love,4.0,165439,"['Drama', 'Romance', 'Comedy']","['Adam Sandler', 'Emily Watson', 'Philip Seymour Hoffman']",English,Paul Thomas Anderson
Hacksaw Ridge,3.89,194927,"['War', 'Drama', 'History']","['Andrew Garfield', 'Sam Worthington', 'Vince Vaughn']",English,Mel Gibson
The Tree of Life,3.86,81168,"['Fantasy', 'Drama']","['Brad Pitt', 'Sean Penn', 'Jessica Chastain']",English,Terrence Malick
Mr. Nobody,3.66,53918,"['Romance', 'Drama', 'Science Fiction']","['Jared Leto', 'Sarah Polley', 'Diane Kruger']",English,Jaco Van Dormael
Saving Private Ryan,4.23,352752,"['History', 'Drama', 'War']","['Tom Hanks', 'Tom Sizemore', 'Edward Burns']",English,Steven Spielberg
To Kill a Mockingbird,4.08,69808,['Drama'],"['Gregory Peck', 'Mary Badham', 'Phillip Alford']",English,Robert Mulligan
Network,4.26,56696,['Drama'],"['Faye Dunaway', 'William Holden', 'Peter Finch']",English,Sidney Lumet
Dead Poets Society,4.24,688264,['Drama'],"['Robin Williams', 'Ethan Hawke', 'Robert Sean Leonard']",English,Peter Weir
The Best of Youth,4.27,5545,"['History', 'Drama', 'Romance']","['Luigi Lo Cascio', 'Alessio Boni', 'Adriana Asti']",Italian,Marco Tullio Giordana
One Flew Over the Cuckoo's Nest,4.36,277077,['Drama'],"['Jack Nicholson', 'Brad Dourif', 'Louise Fletcher']",English,Miloš Forman
The Thin Red Line,4.08,52100,"['War', 'Drama', 'History']","['Jim Caviezel', 'Ben Chaplin', 'Dash Mihok']",English,Terrence Malick
The Breakfast Club,3.75,585985,"['Drama', 'Comedy']","['Emilio Estevez', 'Judd Nelson', 'Molly Ringwald']",English,John Hughes
Rocky,4.07,218028,['Drama'],"['Sylvester Stallone', 'Talia Shire', 'Burt Young']",English,John G. Avildsen
Tokyo Story,4.43,48608,['Drama'],"['Chishū Ryū', 'Chieko Higashiyama', 'Setsuko Hara']",Japanese,Yasujirō Ozu
Strangers on a Train,4.05,41067,"['Romance', 'Crime', 'Thriller']","['Farley Granger', 'Ruth Roman', 'Robert Walker']",English,Alfred Hitchcock
My Cousin Vinny,3.88,71427,['Comedy'],"['Joe Pesci', 'Ralph Macchio', 'Marisa Tomei']",English,Jonathan Lynn
Parasite,4.56,2075331,"['Comedy', 'Thriller', 'Drama']","['Song Kang-ho', 'Lee Sun-kyun', 'Cho Yeo-jeong']",Korean,Bong Joon-ho
Incendies,4.4,92272,"['Mystery', 'War', 'Drama']","['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette']",French,Denis Villeneuve
Ed Wood,4.06,50180,"['Comedy', 'Drama', 'History']","['Johnny Depp', 'Martin Landau', 'Sarah Jessica Parker']",English,Tim Burton
The Social Network,3.95,741571,['Drama'],"['Jesse Eisenberg', 'Andrew Garfield', 'Armie Hammer']",English,David Fincher
Moonlight,4.2,500165,['Drama'],"['Trevante Rhodes', 'André Holland', 'Janelle Monáe']",English,Barry Jenkins
10 Things I Hate About You,3.98,812431,"['Comedy', 'Romance', 'Drama']","['Heath Ledger', 'Julia Stiles', 'Joseph Gordon-Levitt']",English,Gil Junger
The Usual Suspects,4.06,190387,"['Drama', 'Crime', 'Thriller']","['Kevin Spacey', 'Gabriel Byrne', 'Stephen Baldwin']",English,Bryan Singer
My Neighbor Totoro,4.19,560265,"['Fantasy', 'Animation', 'Family']","['Noriko Hidaka', 'Chika Sakamoto', 'Hitoshi Takagi']",Japanese,Hayao Miyazaki
White Men Can't Jump,3.5,22302,"['Comedy', 'Drama']","['Wesley Snipes', 'Woody Harrelson', 'Rosie Perez']",English,Ron Shelton
Remember the Titans,3.77,54454,['Drama'],"['Denzel Washington', 'Will Patton', 'Wood Harris']",English,Boaz Yakin
The Iron Giant,4.24,218933,"['Science Fiction', 'Animation', 'Family', 'Adventure']","['Vin Diesel', 'Eli Marienthal', 'Jennifer Aniston']",English,Brad Bird
Office Space,3.73,91698,['Comedy'],"['Ron Livingston', 'Jennifer Aniston', 'David Herman']",English,Mike Judge
Harry Potter and the Philosopher's Stone,3.75,628073,"['Adventure', 'Fantasy']","['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",English,Chris Columbus
The Goonies,3.77,158130,"['Adventure', 'Family', 'Comedy']","['Sean Astin', 'Josh Brolin', 'Jeff Cohen']",English,Richard Donner
The Sting,4.17,47531,"['Drama', 'Comedy', 'Crime']","['Paul Newman', 'Robert Redford', 'Robert Shaw']",English,George Roy Hill
Inside Out,3.82,720787,"['Comedy', 'Family', 'Animation', 'Adventure', 'Drama']","['Amy Poehler', 'Phyllis Smith', 'Bill Hader']",English,Pete Docter
Manchester by the Sea,4.1,212585,['Drama'],"['Casey Affleck', 'Lucas Hedges', 'Michelle Williams']",English,Kenneth Lonergan
